;Suburb;Rooms;Type;Price;Postcode;Bathroom;Distance;Landsize;BuildingArea;YearBuilt;Regionname;Propertycount;date_month;zipcode;airbnb_record_count;airbnb_price_mean;airbnb_weekly_price_mean;airbnb_monthly_price_mean;CouncilArea
0;Abbotsford;2;h;1480000.0;3067.0;1.0;2.5;202.0;;;Northern Metropolitan;4019.0;2016-03-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
1;Abbotsford;2;h;1035000.0;3067.0;1.0;2.5;156.0;79.0;1900.0;Northern Metropolitan;4019.0;2016-04-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
2;Abbotsford;3;h;1465000.0;3067.0;2.0;2.5;134.0;150.0;1900.0;Northern Metropolitan;4019.0;2017-04-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
3;Abbotsford;3;h;850000.0;3067.0;2.0;2.5;94.0;;;Northern Metropolitan;4019.0;2017-04-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
4;Abbotsford;4;h;1600000.0;3067.0;1.0;2.5;120.0;142.0;2014.0;Northern Metropolitan;4019.0;2016-04-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
5;Abbotsford;2;h;941000.0;3067.0;1.0;2.5;181.0;;;Northern Metropolitan;4019.0;2016-07-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
6;Abbotsford;3;h;1876000.0;3067.0;2.0;2.5;245.0;210.0;1910.0;Northern Metropolitan;4019.0;2016-07-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
7;Abbotsford;2;h;1636000.0;3067.0;1.0;2.5;256.0;107.0;1890.0;Northern Metropolitan;4019.0;2016-08-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
8;Abbotsford;1;u;300000.0;3067.0;1.0;2.5;0.0;;;Northern Metropolitan;4019.0;2016-08-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
9;Abbotsford;2;h;1097000.0;3067.0;1.0;2.5;220.0;75.0;1900.0;Northern Metropolitan;4019.0;2016-08-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
10;Abbotsford;2;u;700000.0;3067.0;2.0;2.5;0.0;;;Northern Metropolitan;4019.0;2016-12-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
11;Abbotsford;3;h;1350000.0;3067.0;2.0;2.5;214.0;190.0;2005.0;Northern Metropolitan;4019.0;2016-12-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
12;Abbotsford;2;u;750000.0;3067.0;2.0;2.5;0.0;94.0;2009.0;Northern Metropolitan;4019.0;2016-12-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
13;Abbotsford;2;h;1172500.0;3067.0;1.0;2.5;195.0;;;Northern Metropolitan;4019.0;2016-08-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
14;Abbotsford;1;u;441000.0;3067.0;1.0;2.5;0.0;;;Northern Metropolitan;4019.0;2016-05-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
15;Abbotsford;2;h;1310000.0;3067.0;1.0;2.5;238.0;97.0;1890.0;Northern Metropolitan;4019.0;2016-10-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
16;Abbotsford;3;h;1200000.0;3067.0;2.0;2.5;113.0;110.0;1880.0;Northern Metropolitan;4019.0;2016-07-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
17;Abbotsford;3;h;1176500.0;3067.0;1.0;2.5;138.0;105.0;1890.0;Northern Metropolitan;4019.0;2016-07-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
18;Abbotsford;3;h;955000.0;3067.0;1.0;2.5;183.0;;;Northern Metropolitan;4019.0;2016-09-01;3067.0;258.0;130.62403100775194;605.1521739130435;2187.032258064516;Yarra
